model,fold,roc_auc,pr_auc,balanced_accuracy,accuracy
log_reg,1,0.6238644544360155,0.7507476906324018,0.6177281452522334,0.618119901797735
log_reg,2,0.6216935319256899,0.7470823350474787,0.6162979678337586,0.6182782925477152
log_reg,3,0.6259850565812297,0.7513059387898336,0.6140151942230951,0.6169808332013306
log_reg,4,0.6254001712925754,0.7489971283280399,0.6177548053317836,0.6222081419293521
log_reg,5,0.6125211573783582,0.7359110830256026,0.605994341989999,0.608743861872327
xgb,1,0.6181454956654975,0.7472653189616055,0.512711939794227,0.6585095430426863
xgb,2,0.618456859943431,0.746092535183028,0.5135385497527103,0.6612813811673398
xgb,3,0.6149718799772513,0.7428776562762417,0.5168055279080818,0.663868208458736
xgb,4,0.6185831939411097,0.7398489626315901,0.5156787160445402,0.6618881672738793
xgb,5,0.6089296705131615,0.7357946858224393,0.5126459890174819,0.6598289244416284
